,0,SalePrice
0,152000.0,144000
1,119500.0,127000
2,140000.0,155000
3,123500.0,119000
4,139000.0,140000
5,197900.0,193000
6,67000.0,76000
7,378500.0,253293
8,186000.0,185000
9,270000.0,239799
10,252000.0,214000
11,149000.0,189950
12,246578.0,259000
13,180000.0,160200
14,257500.0,260400
15,158000.0,142500
16,120000.0,113000
17,187000.0,221000
18,285000.0,293077
19,191000.0,213490
20,202500.0,172500
21,205000.0,192000
22,204000.0,204900
23,174000.0,164500
24,252000.0,266000
25,118500.0,124900
26,348000.0,315000
27,139000.0,124500
28,133700.0,150000
29,315000.0,259500
30,167250.0,175500
31,163000.0,95000
32,271000.0,255000
33,129900.0,140000
34,286000.0,324000
35,216837.0,232000
36,241000.0,187000
37,195000.0,274725
38,451950.0,426000
39,210000.0,127500
40,205000.0,244000
41,252000.0,250000
42,556581.0,320000
43,222500.0,239500
44,154000.0,155000
45,174500.0,113000
46,119000.0,88000
47,162900.0,132000
48,135000.0,133000
49,164000.0,125000
50,151000.0,147400
51,139000.0,147000
52,217500.0,175000
53,224900.0,200000
54,119750.0,115000
55,289000.0,359100
56,386250.0,171000
57,177000.0,181000
58,125500.0,159500
59,128000.0,80000
60,108959.0,130000
61,131191.66666666666,109000
62,213000.0,187500
63,207500.0,230000
64,189000.0,188500
65,130000.0,105000
66,211000.0,269790
67,139000.0,102000
68,127500.0,129500
69,131500.0,60000
70,281000.0,325000
71,274900.0,283463
72,215000.0,170000
73,239000.0,106000
74,124500.0,129000
75,200000.0,145000
76,106000.0,86000
77,187000.0,201000
78,194201.0,172500
79,175500.0,137450
80,175000.0,164000
81,154000.0,275000
82,153500.0,147000
83,172500.0,179400
84,187000.0,175900
85,285000.0,339750
86,134000.0,135000
87,143000.0,135000
88,88000.0,75000
89,131191.66666666666,148000
90,129500.0,137000
91,149000.0,117000
92,126833.33333333333,144900
93,144000.0,151000
94,119200.0,115000
95,279500.0,235128
96,124500.0,133000
97,197000.0,155900
98,206000.0,202665
99,119000.0,118500
100,55993.0,68500
101,395192.0,402861
102,108000.0,125500
103,212000.0,227875
104,190000.0,191000
105,230000.0,233000
106,196000.0,181000
107,110000.0,155000
108,89500.0,88000
109,155000.0,190000
110,309000.0,269500
111,180000.0,178900
112,144000.0,120500
113,232600.0,285000
114,337500.0,311872
115,223500.0,228500
116,153575.0,135500
117,274900.0,377500
118,176000.0,165000
119,110000.0,101000
120,148000.0,132000
121,378500.0,372500
122,165000.0,131000
123,181000.0,159000
124,129900.0,94750
125,611657.0,485000
126,281000.0,345000
127,184000.0,131500
128,230000.0,239900
129,177000.0,122000
130,124000.0,81000
131,125000.0,142500
132,190330.0,186500
133,151000.0,151000
134,264132.0,240000
135,144000.0,159500
136,264132.0,209500
137,205000.0,190000
138,392500.0,275000
139,260000.0,301500
140,171000.0,157000
141,129900.0,130500
142,187000.0,241500
143,154900.0,180500
144,193500.0,200000
145,234000.0,316600
146,164000.0,145000
147,129900.0,128000
148,124000.0,123000
149,112500.0,110000
150,175500.0,178000
151,145000.0,189000
152,154000.0,140000
153,145000.0,175000
