,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
975,0.16970133781433105,0.00369293945481273,0.0021009206771850585,0.00030049558227319213,absolute_error,50,,3,2,"{'criterion': 'absolute_error', 'max_depth': 50, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 2}",0.834146989584552,0.7076809635106198,0.7940478022876276,0.7358252243137344,0.8270738519420866,0.601461620712185,0.8201900831982438,0.7903211054013136,0.7478599136949138,0.7534817464443186,0.7612089301089595,0.06658041704456358,1
976,0.16939845085144042,0.003901309416876535,0.002100348472595215,0.00030044837797191796,absolute_error,50,,3,5,"{'criterion': 'absolute_error', 'max_depth': 50, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 5}",0.8340219643102984,0.7079491891798808,0.7981891593937068,0.714912221436693,0.8240931178667108,0.5855736049092577,0.818181944701595,0.7913459301578921,0.7494012370188701,0.7604713897843645,0.758413975875927,0.07118107903589757,2
979,0.13099920749664307,0.005075324911956579,0.002300739288330078,0.0004581006369545471,absolute_error,50,,8,5,"{'criterion': 'absolute_error', 'max_depth': 50, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.7656393380401001,0.7599334278416716,0.7575945647027706,0.6660134190307245,0.8009843938768707,0.6071258280276433,0.8699401055517928,0.8143345397039341,0.8130476460421538,0.711202374965746,0.7565815637783407,0.07351107127194774,3
1030,0.17169852256774903,0.005699274543936531,0.0022010087966918947,0.0004018323884302464,absolute_error,150,,3,5,"{'criterion': 'absolute_error', 'max_depth': 150, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 5}",0.8360356546144886,0.710056312226314,0.791471447626282,0.7044244757326705,0.8266129167346319,0.6136976754502679,0.8058199110739753,0.7669628198500973,0.7481934617626964,0.7590930074405348,0.7562367682511957,0.06351620064102811,4
1033,0.12959861755371094,0.002197469883003771,0.0022002696990966798,0.00040029328075798205,absolute_error,150,,8,5,"{'criterion': 'absolute_error', 'max_depth': 150, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.7656393380401001,0.758395563590358,0.7509480254986175,0.6662807438274665,0.8009843938768707,0.6071258280276433,0.8699401055517928,0.8156190013429302,0.813155158012568,0.7112755572099276,0.7559363714978274,0.07359657469539568,5
980,0.12900311946868898,0.002865926577606152,0.002000236511230469,5.245208740234375e-07,absolute_error,50,,8,10,"{'criterion': 'absolute_error', 'max_depth': 50, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 10}",0.7656393380401001,0.7599334278416716,0.7557959490708485,0.6660134190307245,0.8009843938768707,0.6071258280276433,0.8651384755239107,0.8127665399903723,0.811867149408793,0.7112755572099276,0.7556540078020862,0.07255824820017458,6
1032,0.1278001308441162,0.002358905754342929,0.0023002386093139648,0.0004584797142813565,absolute_error,150,,8,2,"{'criterion': 'absolute_error', 'max_depth': 150, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 2}",0.7656393380401001,0.7599334278416716,0.7527466411305397,0.6662596549883085,0.8009843938768707,0.6020867453284754,0.8651366180403535,0.8175663355957278,0.813155158012568,0.7112755572099276,0.7554783870064543,0.0740612384182066,7
926,0.12800261974334717,0.002722031509136329,0.0021002769470214845,0.00030007794266603285,absolute_error,20,,8,10,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 10}",0.7656393380401001,0.758395563590358,0.7557959490708485,0.6576142928722493,0.8009843938768707,0.6071258280276433,0.8699401055517928,0.8143473245381998,0.813155158012568,0.7115101003039854,0.7554508053884615,0.0745622990448991,8
1031,0.16909890174865722,0.0041817236913383495,0.0026006460189819335,0.0004903519096082315,absolute_error,150,,3,10,"{'criterion': 'absolute_error', 'max_depth': 150, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",0.8569573816271929,0.7145130416749325,0.7680509112832183,0.702522801202653,0.7843662546382678,0.6034617987611175,0.8305888749003342,0.779950067696827,0.7651292997254501,0.7480275038021753,0.7553567935312169,0.06728374006735602,9
978,0.12809882164001465,0.0028079927125456384,0.0020003557205200196,6.525007335378651e-07,absolute_error,50,,8,2,"{'criterion': 'absolute_error', 'max_depth': 50, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 2}",0.7656393380401001,0.758395563590358,0.7557959490708485,0.6573731180378015,0.8009843938768707,0.6071258280276433,0.8699401055517928,0.8145942460617204,0.8117596374383789,0.7115101003039854,0.75531182799995,0.07450668404778035,10
1034,0.1307002544403076,0.002187501453091407,0.002100515365600586,0.0002999156908791834,absolute_error,150,,8,10,"{'criterion': 'absolute_error', 'max_depth': 150, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 10}",0.7656393380401001,0.7599334278416716,0.7527466411305397,0.6573731180378015,0.8009843938768707,0.6071258280276433,0.86994196303535,0.8140510016293684,0.813155158012568,0.711202374965746,0.755215324459766,0.07460122085094786,11
1029,0.1722015619277954,0.004425642805131113,0.0023009777069091797,0.0004595585493541272,absolute_error,150,,3,2,"{'criterion': 'absolute_error', 'max_depth': 150, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 2}",0.8306866573380127,0.7100809092508968,0.7963736485761779,0.7164420223969461,0.827621694961042,0.5835052169767205,0.818713144919047,0.7663035206944057,0.7442597752712805,0.7574069282785459,0.7551393518663077,0.07066622134116575,12
924,0.13009967803955078,0.0030491356316868254,0.002201557159423828,0.0004007846241010397,absolute_error,20,,8,2,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 2}",0.7656393380401001,0.7599334278416716,0.7575945647027706,0.6576872395126154,0.8009843938768707,0.6020867453284754,0.8699401055517928,0.8130262463481586,0.8130476460421538,0.711202374965746,0.7551142082210355,0.07548309157841072,13
817,0.135001802444458,0.001736264768744468,0.0023004770278930663,0.00045848004903373507,absolute_error,,,8,5,"{'criterion': 'absolute_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.7656393380401001,0.758395563590358,0.7527466411305397,0.6657933330354348,0.8009843938768707,0.6020867453284754,0.8651366180403535,0.8159855510479002,0.8117596374383789,0.711202374965746,0.7549730196494158,0.0738741183019992,14
925,0.12859823703765869,0.00300656938697343,0.002501177787780762,0.00049984667541249,absolute_error,20,,8,5,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.7656393380401001,0.7599334278416716,0.744828775300973,0.6660134190307245,0.8009843938768707,0.6071258280276433,0.8651366180403535,0.8156556178939753,0.8117596374383789,0.7115101003039854,0.7548587155794676,0.07284431457959555,15
818,0.13499855995178223,0.0017943746730084312,0.002300882339477539,0.0004601983576324682,absolute_error,,,8,10,"{'criterion': 'absolute_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 10}",0.7656393380401001,0.7599334278416716,0.744828775300973,0.6573731180378015,0.8009843938768707,0.6071258280276433,0.86994196303535,0.8159855510479002,0.813155158012568,0.7115101003039854,0.7546477653524863,0.07480399502972808,16
977,0.16620199680328368,0.0021845077350701077,0.002000164985656738,7.076655425861277e-07,absolute_error,50,,3,10,"{'criterion': 'absolute_error', 'max_depth': 50, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",0.8590534369473595,0.7107203215504238,0.7666561566803841,0.7014736800905921,0.7880673861061149,0.6038492868385177,0.8345584368295076,0.7788896865397721,0.7507784146807165,0.7504965047616162,0.7544543311025005,0.06831113993274449,17
816,0.13499765396118163,0.001842802836003911,0.0022020578384399415,0.00039983066476600033,absolute_error,,,8,2,"{'criterion': 'absolute_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 2}",0.7656393380401001,0.758395563590358,0.7466273909328951,0.6657933330354348,0.8009843938768707,0.6020867453284754,0.8651384755239107,0.8145942460617204,0.811867149408793,0.7112755572099276,0.7542402193008486,0.07380485633105659,18
923,0.16689727306365967,0.004159845967058793,0.002300930023193359,0.0006406111282998005,absolute_error,20,,3,10,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",0.8615370667203643,0.7164905870621432,0.7664140253369952,0.704094093818397,0.7869175409856963,0.5765932350799498,0.8315329852800817,0.7800221265071928,0.7649231010863744,0.7504893551011003,0.7539014116978295,0.07415703976116766,19
815,0.17499806880950927,0.0024922945083125426,0.0023002147674560545,0.00045859918490122277,absolute_error,,,3,10,"{'criterion': 'absolute_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",0.8542522722066925,0.7109551126598916,0.7709407443127774,0.7016010521171069,0.7843662546382678,0.6033842271622336,0.8352726091750083,0.7779182227520951,0.7520255040498464,0.7480275038021753,0.7538743502876095,0.06764611538176207,20
813,0.1773002862930298,0.0017328909703164482,0.0020998239517211912,0.00030006650568140965,absolute_error,,,3,2,"{'criterion': 'absolute_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 2}",0.8346424850284349,0.7025952492998411,0.796332891261069,0.6921358685987242,0.8259925055386346,0.5993454305680372,0.8058379421443733,0.7661570777471792,0.7518350545421844,0.7616856661511539,0.7536560170879631,0.06838376994453997,21
921,0.16770143508911134,0.0036892968443096017,0.002100086212158203,0.00029997893839527984,absolute_error,20,,3,2,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 2}",0.8317443843260919,0.7071370214320658,0.8019317601625249,0.6997482836021047,0.8279880673448112,0.5784628475726072,0.8116446424148894,0.7674764369022405,0.7502700693690325,0.758925750021312,0.7535329263147681,0.07301306005014836,22
922,0.16929922103881836,0.002934092896557007,0.002101445198059082,0.00030492957901583436,absolute_error,20,,3,5,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 5}",0.8376636845415775,0.6942923229793398,0.7933774651113228,0.6876036914144743,0.8236871576929616,0.614246568321544,0.8088442761382396,0.7653252030997018,0.7452858095570976,0.7549382606846223,0.7525264439540881,0.06640952762687176,23
853,0.06359844207763672,0.004966217514245708,0.0021001815795898436,0.00030050364723914925,absolute_error,,100,8,5,"{'criterion': 'absolute_error', 'max_depth': None, 'max_features': 100, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.8434293735162375,0.6425580510222404,0.6732375230359751,0.7173853814359239,0.8113908905853973,0.6225226265690922,0.7979563917174057,0.7850703036193054,0.8306424230608076,0.7488004235927611,0.7472993388155146,0.07563714630263679,24
966,0.11890122890472413,0.007952294223344303,0.002100229263305664,0.0002986635767262408,absolute_error,20,150,3,2,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': 150, 'min_samples_leaf': 3, 'min_samples_split': 2}",0.8673685980966448,0.6991812752674159,0.7317207584326796,0.6961439933813518,0.8598540023262873,0.5278136311124335,0.7897624656796881,0.7580537109196647,0.8102221375629977,0.7061414694285147,0.7446262042207679,0.09377346679772024,25
