,0,SalePrice
0,139498.18,144000
1,120857.41,127000
2,149600.57,155000
3,122972.67,119000
4,130681.38,140000
5,218012.11,193000
6,85160.8,76000
7,372678.6,253293
8,184717.435,185000
9,259566.0,239799
10,257488.915,214000
11,151984.66,189950
12,253397.29,259000
13,169631.63,160200
14,238655.17,260400
15,153114.86,142500
16,114856.855,113000
17,198382.615,221000
18,294685.04,293077
19,190996.28,213490
20,190027.475,172500
21,197687.65,192000
22,227272.64,204900
23,171339.085,164500
24,262528.71,266000
25,154834.775,124900
26,322710.9,315000
27,138488.165,124500
28,142646.465,150000
29,200529.15,259500
30,153220.055,175500
31,146368.565,95000
32,246158.74,255000
33,136445.885,140000
34,244549.345,324000
35,223101.555,232000
36,193715.52,187000
37,234722.095,274725
38,364219.59,426000
39,130584.09,127500
40,258728.305,244000
41,264167.955,250000
42,338036.67,320000
43,228231.88,239500
44,168321.875,155000
45,130082.135,113000
46,107254.065,88000
47,139658.23,132000
48,144311.235,133000
49,162749.12,125000
50,158815.56,147400
51,145988.045,147000
52,194920.85,175000
53,218906.87,200000
54,123522.28,115000
55,234715.13,359100
56,287177.11,171000
57,160159.0,181000
58,166411.07,159500
59,101076.375,80000
60,134984.355,130000
61,136994.12,109000
62,195629.02,187500
63,209053.65,230000
64,181878.4,188500
65,107644.49,105000
66,223959.075,269790
67,123953.105,102000
68,126818.775,129500
69,128431.93,60000
70,308264.34,325000
71,297308.28,283463
72,190327.61,170000
73,140788.555,106000
74,115226.21,129000
75,165014.785,145000
76,107968.43,86000
77,204527.475,201000
78,207974.25,172500
79,153236.87,137450
80,196896.595,164000
81,250404.715,275000
82,127754.565,147000
83,167595.755,179400
84,184527.675,175900
85,299394.885,339750
86,139800.495,135000
87,138286.6,135000
88,98611.875,75000
89,146230.585,148000
90,131460.76,137000
91,129217.975,117000
92,146161.29,144900
93,141192.805,151000
94,109543.485,115000
95,249075.42,235128
96,132975.5,133000
97,142310.95,155900
98,197618.545,202665
99,118484.095,118500
100,84415.08,68500
101,383065.265,402861
102,121681.69,125500
103,218456.18,227875
104,200864.245,191000
105,234775.22,233000
106,199575.495,181000
107,145121.53,155000
108,98218.775,88000
109,204868.26,190000
110,287472.825,269500
111,179380.67,178900
112,116100.14,120500
113,276589.385,285000
114,320359.65,311872
115,220968.92,228500
116,135789.21,135500
117,341541.015,377500
118,156618.38,165000
119,106028.455,101000
120,149512.045,132000
121,351426.4,372500
122,156883.645,131000
123,147292.17,159000
124,127041.75,94750
125,496764.77,485000
126,361758.44,345000
127,135609.285,131500
128,240716.53,239900
129,138530.41,122000
130,125755.715,81000
131,134786.37,142500
132,191560.785,186500
133,150666.96,151000
134,233642.81,240000
135,134090.915,159500
136,218107.28,209500
137,189950.335,190000
138,294441.6,275000
139,300709.935,301500
140,152010.46,157000
141,131618.435,130500
142,230115.93,241500
143,165696.46,180500
144,214690.705,200000
145,261913.855,316600
146,156647.685,145000
147,133747.535,128000
148,123944.29,123000
149,118732.6,110000
150,180256.45,178000
151,189342.42,189000
152,143703.75,140000
153,205984.225,175000
