,0,SalePrice
0,140694.96,144000
1,123443.415,127000
2,148859.79,155000
3,122431.625,119000
4,132011.75,140000
5,219186.37,193000
6,80905.45,76000
7,386460.34,253293
8,182480.635,185000
9,259408.065,239799
10,251115.78,214000
11,152043.16,189950
12,257651.405,259000
13,169400.005,160200
14,244558.24,260400
15,154459.29,142500
16,112954.135,113000
17,205150.53,221000
18,283829.46,293077
19,192181.98,213490
20,187612.285,172500
21,192859.085,192000
22,224308.33,204900
23,170414.845,164500
24,259914.275,266000
25,151146.645,124900
26,322185.065,315000
27,140653.625,124500
28,145795.98,150000
29,195456.625,259500
30,155426.305,175500
31,149465.35,95000
32,249865.87,255000
33,136878.145,140000
34,251865.38,324000
35,229227.615,232000
36,191263.75,187000
37,226635.29,274725
38,363128.115,426000
39,129396.585,127500
40,260797.165,244000
41,262792.975,250000
42,345132.46,320000
43,225471.28,239500
44,169755.06,155000
45,134174.89,113000
46,109113.94,88000
47,135059.515,132000
48,140548.155,133000
49,162340.91,125000
50,158162.025,147400
51,144749.54,147000
52,195520.635,175000
53,224925.925,200000
54,119757.79,115000
55,239192.44,359100
56,290076.07,171000
57,162287.625,181000
58,171274.46,159500
59,98038.79,80000
60,137302.92,130000
61,136237.495,109000
62,198682.4,187500
63,212622.335,230000
64,181132.785,188500
65,105131.79,105000
66,227211.425,269790
67,122255.54,102000
68,123605.18,129500
69,127367.355,60000
70,303143.93,325000
71,299215.33,283463
72,189416.895,170000
73,147862.86,106000
74,112549.025,129000
75,165997.33,145000
76,102347.075,86000
77,201546.425,201000
78,205860.79,172500
79,153634.93,137450
80,192628.84,164000
81,245635.065,275000
82,128705.855,147000
83,165405.445,179400
84,185310.235,175900
85,302500.075,339750
86,140738.63,135000
87,138084.015,135000
88,100274.73,75000
89,148255.395,148000
90,130545.04,137000
91,130845.34,117000
92,146048.81,144900
93,143290.505,151000
94,110808.205,115000
95,247531.145,235128
96,129143.0,133000
97,138798.685,155900
98,198354.305,202665
99,118478.59,118500
100,83827.36,68500
101,385427.79,402861
102,120997.165,125500
103,216620.21,227875
104,203381.185,191000
105,239054.92,233000
106,198946.26,181000
107,143396.67,155000
108,99161.005,88000
109,204114.605,190000
110,289454.745,269500
111,178652.675,178900
112,115894.915,120500
113,270533.05,285000
114,324475.33,311872
115,222134.3,228500
116,134877.71,135500
117,342182.0,377500
118,153918.75,165000
119,104202.8,101000
120,148927.685,132000
121,362057.375,372500
122,156624.655,131000
123,148795.045,159000
124,128388.62,94750
125,499788.36,485000
126,350236.045,345000
127,133459.505,131500
128,236444.605,239900
129,140348.855,122000
130,122609.94,81000
131,134374.5,142500
132,189736.715,186500
133,150996.01,151000
134,241993.44,240000
135,135735.785,159500
136,228682.445,209500
137,190704.25,190000
138,282573.645,275000
139,293391.315,301500
140,152513.98,157000
141,131461.375,130500
142,231225.285,241500
143,174317.48,180500
144,217481.035,200000
145,264115.735,316600
146,155412.2,145000
147,130774.885,128000
148,125076.415,123000
149,119315.52,110000
150,178621.775,178000
151,189230.655,189000
152,144025.79,140000
153,205302.375,175000
