,0,SalePrice
0,92989.84900366545,144000
1,118399.07311729035,127000
2,142339.02657328127,155000
3,121903.52756975185,119000
4,154727.25795552664,140000
5,204118.46552937676,193000
6,77837.38072029773,76000
7,373404.25003637123,253293
8,203738.00461339467,185000
9,226278.93916643743,239799
10,262876.9400522307,214000
11,174962.60493387567,189950
12,229205.44702916476,259000
13,166131.78617703088,160200
14,263496.4745619566,260400
15,134789.5557086115,142500
16,106240.03363085407,113000
17,242587.60648676497,221000
18,274981.92701882595,293077
19,202400.53388709069,213490
20,197816.22899596614,172500
21,222611.01613231766,192000
22,190367.68790827665,204900
23,179573.5263434166,164500
24,248950.48611438886,266000
25,145178.35356553434,124900
26,291428.09113769175,315000
27,142083.46085893974,124500
28,170956.06752848264,150000
29,226352.6440119155,259500
30,155015.15501469007,175500
31,113619.82139637959,95000
32,233817.10187918693,255000
33,129242.82692602901,140000
34,251263.03879940725,324000
35,225769.55926487816,232000
36,226827.32519731054,187000
37,258914.5050750528,274725
38,398602.4535660889,426000
39,125717.39757377646,127500
40,253809.34356161073,244000
41,255521.1027310125,250000
42,342859.66397420183,320000
43,221275.50300822285,239500
44,159569.54393614567,155000
45,111329.08485880643,113000
46,102185.65193763566,88000
47,106980.61182599585,132000
48,136789.45825701277,133000
49,128568.60475626933,125000
50,149865.52680591051,147400
51,142966.86729638872,147000
52,188484.7978469368,175000
53,214194.64331617492,200000
54,120220.72019350783,115000
55,264737.5463181972,359100
56,143852.17343279877,171000
57,172662.79360368173,181000
58,163522.09843378369,159500
59,84606.99869671486,80000
60,136873.36514158684,130000
61,129125.51695560399,109000
62,207034.43636482517,187500
63,209937.68556308327,230000
64,193058.86011681432,188500
65,118436.72180294743,105000
66,277694.3649656019,269790
67,106466.68436625488,102000
68,124515.91712236089,129500
69,98044.37029946352,60000
70,329462.0725009289,325000
71,297440.8080912786,283463
72,188048.48239100998,170000
73,124201.49235277211,106000
74,120409.72190988953,129000
75,163944.52459305988,145000
76,91508.63504835354,86000
77,199015.96072496247,201000
78,204360.7060031047,172500
79,149736.22538600216,137450
80,186945.16756548703,164000
81,300832.89325117064,275000
82,108538.44211291934,147000
83,157223.79567875923,179400
84,185670.90443667624,175900
85,331786.1168766544,339750
86,146787.22475074057,135000
87,138770.87017999828,135000
88,77586.43218155309,75000
89,134063.17074633972,148000
90,120639.0255086689,137000
91,140712.91300315032,117000
92,142003.95112034125,144900
93,156987.08205141648,151000
94,93948.33295887159,115000
95,230442.03513679898,235128
96,136695.82478061534,133000
97,139796.15669401176,155900
98,200366.91566429345,202665
99,119330.51553164455,118500
100,77529.99780507886,68500
101,388926.39946446597,402861
102,121841.25008393113,125500
103,230965.58786446298,227875
104,194042.41091013147,191000
105,223901.44555025472,233000
106,168634.72469583305,181000
107,135338.8508431146,155000
108,95314.2091288581,88000
109,209201.9321577177,190000
110,295279.85990039376,269500
111,185792.9082279306,178900
112,130602.33167268784,120500
113,286199.23871054826,285000
114,381035.6309552817,311872
115,220078.67300346994,228500
116,136816.67884845543,135500
117,368671.3807942664,377500
118,164332.0214411341,165000
119,89516.93176836855,101000
120,140859.6082125493,132000
121,317702.3618411749,372500
122,127420.66724996173,131000
123,182602.17739647452,159000
124,124506.58558081082,94750
125,431361.39908696257,485000
126,410440.5194802986,345000
127,139707.65835749012,131500
128,223928.48230387148,239900
129,97028.11675915573,122000
130,102940.72878672773,81000
131,139037.53140368668,142500
132,203743.73468274542,186500
133,148467.72310383094,151000
134,239644.60840885993,240000
135,160920.36910421803,159500
136,209410.5734564301,209500
137,175641.03997202893,190000
138,264297.9975124139,275000
139,298563.5348675038,301500
140,155560.52065516385,157000
141,133964.68490885774,130500
142,201150.07172865342,241500
143,163911.26425061794,180500
144,217865.62833444634,200000
145,257637.89061753696,316600
146,166304.9179816923,145000
147,125106.51210398863,128000
148,128272.50790543447,123000
149,113780.83564473061,110000
150,189865.0387565167,178000
151,209093.43441229395,189000
152,144763.63465443597,140000
153,195273.1849197707,175000
