,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
2,0.4529981851577759,0.016005191274293812,0.006899785995483398,0.0005385767288434029,1,10,poly,"{'C': 1, 'gamma': 10, 'kernel': 'poly'}",0.8512056610588514,0.8134694325093133,0.875179732953217,0.7990464919471848,0.8315724852520805,0.01721614195927257,0.853547921453144,0.8945984206453281,0.8878626832150367,0.7886017829349681,0.7612300753928396,0.25036746553602773,1
158,0.453699517250061,0.014680969741074737,0.006700325012207031,0.0006391596025333108,16,100,poly,"{'C': 16, 'gamma': 100, 'kernel': 'poly'}",0.8406312815812282,0.8027933286530661,0.8647984940132192,0.7990489385563744,0.831574091563854,0.027412055742738306,0.8508874945121334,0.8960381402286675,0.8838967119116248,0.7797355671635077,0.7576816103926414,0.2459880513228967,2
198,0.4842026948928833,0.04095479024597997,0.006697344779968262,0.00045942905161861164,21,100,poly,"{'C': 21, 'gamma': 100, 'kernel': 'poly'}",0.8406312815812282,0.8027933286530661,0.8647984940132192,0.7990489385563744,0.831574091563854,0.027412055742738306,0.8508874945121334,0.8960381402286675,0.8838967119116248,0.7797355671635077,0.7576816103926414,0.2459880513228967,2
98,0.45449955463409425,0.015156422921904278,0.006700539588928222,0.00045858367414205623,11,50,poly,"{'C': 11, 'gamma': 50, 'kernel': 'poly'}",0.8406312815812282,0.8027933286530661,0.8647984940132192,0.7990489385563744,0.831574091563854,0.027412055742738306,0.8508874945121334,0.8960381402286675,0.8838967119116248,0.7797355671635077,0.7576816103926414,0.2459880513228967,2
138,0.4581018924713135,0.014987687764410815,0.006599211692810058,0.0006629478727346945,16,50,poly,"{'C': 16, 'gamma': 50, 'kernel': 'poly'}",0.8406312815812282,0.8027933286530661,0.8647984940132192,0.7990489385563744,0.831574091563854,0.027412055742738306,0.8508874945121334,0.8960381402286675,0.8838967119116248,0.7797355671635077,0.7576816103926414,0.2459880513228967,2
78,0.45439920425415037,0.014766955549720477,0.006900954246520996,0.0007002289947574424,6,100,poly,"{'C': 6, 'gamma': 100, 'kernel': 'poly'}",0.8406312815812282,0.8027933286530661,0.8647984940132192,0.7990489385563744,0.831574091563854,0.027412055742738306,0.8508874945121334,0.8960381402286675,0.8838967119116248,0.7797355671635077,0.7576816103926414,0.2459880513228967,2
58,0.4542012929916382,0.015075021412269017,0.006300139427185059,0.0004580429344145103,6,50,poly,"{'C': 6, 'gamma': 50, 'kernel': 'poly'}",0.8406312815812282,0.8027933286530661,0.8647984940132192,0.7990489385563744,0.831574091563854,0.027412055742738306,0.8508874945121334,0.8960381402286675,0.8838967119116248,0.7797355671635077,0.7576816103926414,0.2459880513228967,2
38,0.45340020656585694,0.014872224016596023,0.006600379943847656,0.0006632579388957751,1,100,poly,"{'C': 1, 'gamma': 100, 'kernel': 'poly'}",0.8406312815812282,0.8027933286530661,0.8647984940132192,0.7990489385563744,0.831574091563854,0.027412055742738306,0.8508874945121334,0.8960381402286675,0.8838967119116248,0.7797355671635077,0.7576816103926414,0.2459880513228967,2
178,0.45470097064971926,0.015898954665932732,0.006500077247619629,0.0005009429105619724,21,50,poly,"{'C': 21, 'gamma': 50, 'kernel': 'poly'}",0.8406312815812282,0.8027933286530661,0.8647984940132192,0.7990489385563744,0.831574091563854,0.027412055742738306,0.8508874945121334,0.8960381402286675,0.8838967119116248,0.7797355671635077,0.7576816103926414,0.2459880513228967,2
18,0.4536001443862915,0.014565453017971169,0.006699967384338379,0.00045883737065001754,1,50,poly,"{'C': 1, 'gamma': 50, 'kernel': 'poly'}",0.8406312815812282,0.8027933286530661,0.8647984940132192,0.7990489385563744,0.831574091563854,0.027412055742738306,0.8508874945121334,0.8960381402286675,0.8838967119116248,0.7797355671635077,0.7576816103926414,0.2459880513228967,2
